Name,ID,Description,Quality,Itempools,Type,Tags,MaxCharges,MoveSpeed,AddBlackHearts,GfxFileName,ClearEffectsOnRemove,InitCharge,PersistentEffect,ShopPrice,AddMaxHearts,Bombs,Pickups,AddCoins,Damage,TearFlags,CraftingQuality,AddCostumeOnPickup,AchievementID,Coins,AddBombs,PassiveCache,ShotSpeed,Luck,Flight,MaxCooldown,ChargeType,Tears,Keys,CacheFlags,Special,DevilPrice,AddHearts,Range,AddSoulHearts,AddKeys
The Sad Onion,1,Tears up,3,"treasure,craneGame",ITEM_PASSIVE,"TAG_SUMMONABLE,TAG_OFFENSIVE,TAG_TEARS_UP",0,0.0,0,gfx/items/collectibles/Collectibles_001_TheSadOnion.png,True,-1,False,15,0,0,,0,0.0,,3,True,-1,0,0,False,0.0,0.0,False,0,0,0.71790042078933,0,2,False,1,0,0.0,0,0
The Inner Eye,2,Triple shot,3,treasure,ITEM_PASSIVE,"TAG_SUMMONABLE,TAG_OFFENSIVE",0,0.0,0,gfx/items/collectibles/Collectibles_002_TheInnerEye.png,True,-1,False,15,0,0,,0,0.0,,2,True,-1,0,0,False,0.0,0.0,False,0,0,-1.3363636918344,0,3,False,1,0,0.0,0,0
Spoon Bender,3,Homing shots,3,"treasure,craneGame",ITEM_PASSIVE,"TAG_SUMMONABLE,TAG_OFFENSIVE",0,0.0,0,gfx/items/collectibles/Collectibles_003_SpoonBender.png,True,-1,False,15,0,0,,0,0.0,"TEAR_EFFECT_COUNT,TEAR_HOMING",3,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,112,False,1,0,0.0,0,0
Cricket's Head,4,DMG up,4,"treasure,craneGame",ITEM_PASSIVE,"TAG_SUMMONABLE,TAG_OFFENSIVE,TAG_DEAD",0,0.0,0,gfx/items/collectibles/Collectibles_004_CricketsHead.png,True,-1,False,15,0,0,,0,3.1407833099365,,4,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,5,False,1,0,0.0,0,0
My Reflection,5,Boomerang tears + DMG up + luck down,3,"treasure,craneGame",ITEM_PASSIVE,"TAG_SUMMONABLE,TAG_OFFENSIVE",0,0.0,0,gfx/items/collectibles/Collectibles_005_MyReflection.png,True,-1,False,15,0,0,,0,2.3566203117371,"TEAR_BOOMERANG,TEAR_BOMBERANG",3,True,-1,0,0,False,0.60000002384186,-1.0,False,0,0,0.0,0,1069,False,1,0,8.0,0,0
Number One,6,Tears up + range down,2,treasure,ITEM_PASSIVE,"TAG_SUMMONABLE,TAG_OFFENSIVE,TAG_TEARS_UP",0,0.0,0,gfx/items/collectibles/Collectibles_006_NumberOne.png,True,-1,False,15,0,0,,0,0.0,,2,True,-1,0,0,False,0.0,0.0,False,0,0,1.7539093814354,0,74,False,1,0,-2.5,0,0
Blood of the Martyr,7,DMG up,3,"treasure,angel,woodenChest",ITEM_PASSIVE,"TAG_SUMMONABLE,TAG_OFFENSIVE",0,0.0,0,gfx/items/collectibles/Collectibles_007_BloodOfTheMartyr.png,True,-1,False,15,0,0,,0,1.6913390159607,,3,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,1,False,1,0,0.0,0,0
Brother Bobby,8,Friends 'till the end,1,"treasure,babyShop",ITEM_FAMILIAR,"TAG_SUMMONABLE,TAG_OFFENSIVE,TAG_MONSTER_MANUAL,TAG_BABY",0,0.0,0,gfx/items/collectibles/Collectibles_008_BrotherBobby.png,True,-1,False,15,0,0,,0,0.0,,1,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,512,False,1,0,0.0,0,0
Skatole,9,Fly love,0,shellGame,ITEM_PASSIVE,"TAG_NO_CANTRIP,TAG_SUMMONABLE,TAG_OFFENSIVE,TAG_POOP,TAG_FLY",0,0.0,0,gfx/items/collectibles/Collectibles_009_Skatole.png,True,-1,False,15,0,0,,0,0.0,,0,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,0,False,1,0,0.0,0,0
Halo of Flies,10,Projectile protection,2,"treasure,keyMaster,babyShop",ITEM_FAMILIAR,"TAG_SUMMONABLE,TAG_FLY",0,0.0,0,gfx/items/collectibles/Collectibles_010_HaloOfFlies.png,True,-1,False,15,0,0,,0,0.0,,2,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,512,False,1,0,0.0,0,0
1up!,11,Extra life,2,secret,ITEM_FAMILIAR,"TAG_UNIQUE_FAMILIAR,TAG_MUSHROOM",0,0.0,0,gfx/items/collectibles/Collectibles_011_1Up.png,True,-1,False,15,0,0,,0,0.0,,2,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,512,False,1,0,0.0,0,0
Magic Mushroom,12,All stats up!,4,"treasure,ultraSecret",ITEM_PASSIVE,"TAG_SUMMONABLE,TAG_OFFENSIVE,TAG_MUSHROOM",0,0.29999995231628,0,gfx/items/collectibles/Collectibles_012_MagicMushroom.png,True,-1,False,15,2,0,,0,2.6224994659424,,4,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,2073,False,1,100,2.5,0,0
The Virus,13,Poison touch + speed up,2,"treasure,demonBeggar,ultraSecret",ITEM_PASSIVE,"TAG_SUMMONABLE,TAG_OFFENSIVE,TAG_SYRINGE",0,0.20000004768372,0,gfx/items/collectibles/Collectibles_013_TheVirus.png,True,-1,False,15,0,0,,0,0.0,,2,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,4112,False,1,0,0.0,0,0
Roid Rage,14,Speed and range up,2,"treasure,boss,demonBeggar",ITEM_PASSIVE,"TAG_SUMMONABLE,TAG_OFFENSIVE,TAG_SYRINGE",0,0.29999995231628,0,gfx/items/collectibles/Collectibles_014_RoidRage.png,True,-1,False,15,0,0,,0,0.0,,2,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,24,False,1,0,2.5,0,0
<3,15,HP up,2,"treasure,ultraSecret",ITEM_PASSIVE,TAG_NO_LOST_BR,0,0.0,0,gfx/items/collectibles/Collectibles_015_Heart.png,True,-1,False,15,2,0,,0,0.0,,2,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,0,False,1,99,0.0,0,0
Raw Liver,16,HP up,2,secret,ITEM_PASSIVE,TAG_NO_LOST_BR,0,0.0,0,gfx/items/collectibles/Collectibles_016_RawLiver.png,True,-1,False,15,4,0,,0,0.0,,2,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,0,0,False,1,99,0.0,0,0
Skeleton Key,17,99 keys,2,"treasure,secret,keyMaster",ITEM_PASSIVE,"TAG_NO_CANTRIP,TAG_OFFENSIVE",0,0.0,0,gfx/items/collectibles/Collectibles_017_SkeletonKey.png,True,-1,False,15,0,0,,0,0.0,,2,True,-1,0,0,False,0.0,0.0,False,0,0,0.0,99,0,False,1,0,0.0,0,99
